frame,strain,analysis_variant,mode,center_kind,target_kind,r_lower_A,r_upper_A,r_mid_A,N_total,N_center,N_target,rho_target_1_per_A3,pair_count_shell,pair_count_cumulative,CN_sum_r,P_sum_r,g_r_RDF_like
36,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,2.0,2.5,2.25,432000,45193,62628,0.008177017401267252,463,463,0.010244949439072422,0.0,0.039227121455742385
36,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,2.5,3.0,2.75,432000,45193,62628,0.008177017401267252,142120,142583,3.1549797535016486,0.4895669683358042,8.0714040912989
36,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,3.0,3.5,3.25,432000,45193,62628,0.008177017401267252,74389,216972,4.801009005819485,0.8008098599340606,3.0271942078577654
36,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,3.5,4.0,3.75,432000,45193,62628,0.008177017401267252,41394,258366,5.716947314849645,0.808864204633461,1.2658608687601958
36,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,4.0,4.5,4.25,432000,45193,62628,0.008177017401267252,44951,303317,6.7115925032637795,0.8253048038413029,1.0705696024721725
36,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,4.5,5.0,4.75,432000,45193,62628,0.008177017401267252,112285,415602,9.196158697143362,0.8503971854048193,2.1413503884671607
36,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,5.0,5.5,5.25,432000,45193,62628,0.008177017401267252,218791,634393,14.037417299139248,0.8825703095612152,3.41614851882719
36,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,5.5,6.0,5.75,432000,45193,62628,0.008177017401267252,158939,793332,17.554311508419445,0.9034142455690041,2.0690703324627395
36,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,6.0,6.5,6.25,432000,45193,62628,0.008177017401267252,88726,882058,19.517580156218884,0.9120217732834731,0.9777174000801953
36,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,6.5,7.0,6.75,432000,45193,62628,0.008177017401267252,131893,1013951,22.436018852477154,0.9181952957316398,1.2461482286648797
