composition,mode,r_mid_A,CN_sum_r__mean,CN_sum_r__std,CN_sum_r__count,CN_sum_r__sem,P_sum_r__mean,P_sum_r__std,P_sum_r__count,P_sum_r__sem,g_r_RDF_like__mean,g_r_RDF_like__std,g_r_RDF_like__count,g_r_RDF_like__sem
Ti40Nb,Twin_center__Omega_target,2.75,0.6910904254801723,0.017577940319525705,6,0.0071761640853221795,0.11691196077180932,0.00322221963737112,6,0.0013154656584558485,10.097386964504267,0.16235429967049667,6,0.06628086528993798
Ti40Nb,Twin_center__Omega_target,3.25,1.2672771727755725,0.027054867350036628,6,0.011045103344379038,0.643542660750275,0.008835702161286567,6,0.003607160302393101,6.045172078139295,0.05540222225437017,6,0.022617862523245612
Ti40Nb,Twin_center__Omega_target,3.75,1.3142660847917107,0.03110101621486464,6,0.012696936701407374,0.6731467517026326,0.009208538221208032,6,0.0037593699864793212,0.37021562288231297,0.03268710676718818,6,0.013344455457914345
Ti40Nb,Twin_center__Omega_target,4.25,1.4436880951402065,0.037261356946193785,6,0.015211885273647401,0.6895855671759198,0.009978899962814211,6,0.004073868850528808,0.7944760077127421,0.0330766678528436,6,0.013503493105164415
Ti40Nb,Twin_center__Omega_target,4.75,2.096888768918126,0.046008433067065056,6,0.018782864146550376,0.7629878966558595,0.008745995893809182,6,0.0035705378720515646,3.2116988985636326,0.014016876620172997,6,0.005722365917828516
Ti40Nb,Twin_center__Omega_target,5.25,3.207054071477744,0.06587632865998816,6,0.026893898557475752,0.8566723899553699,0.00806675060936793,6,0.003293237145872783,4.468978047455255,0.0392994506701945,6,0.016043933552275822
Ti40Nb,Twin_center__Omega_target,5.75,3.9529645479596947,0.08409605684845467,6,0.03433207144313346,0.9175964656796598,0.0066759934790487745,6,0.00272546292496956,2.5033066300401994,0.03870984059045159,6,0.01580322624518052
Ti40Nb,Twin_center__Omega_target,6.25,4.205419491034371,0.09428432178364093,6,0.038491413185716174,0.9353225790995815,0.006282792219626808,6,0.002564939183002304,0.7170862685668925,0.025368785563656886,6,0.010356763337507253
Ti40Nb,Twin_center__Omega_target,6.75,4.542921118754067,0.10631350725919664,6,0.043402307591784525,0.9438677687786954,0.005865854730782392,6,0.002394725165951275,0.8220329848684084,0.029353571044344814,6,0.011983545197863321
Ti40Nb,Twin_center__Omega_target,7.25,6.128825502885946,0.12166662367528004,6,0.04967019112194324,0.9671819188199069,0.0046241088937575975,6,0.0018877845507952842,3.349029434330486,0.022412019786174846,6,0.009149668763548155
Ti40Nb,Twin_center__Omega_target,7.75,7.22434454355979,0.14534729991109419,6,0.059337786712242595,0.9812638591533972,0.0029757363319983777,6,0.001214839270409544,2.0245057129404684,0.027282905710118863,6,0.011138199615042794
Ti40Nb,Twin_center__Omega_target,8.25,8.333304616173534,0.15970993100088487,6,0.06520130630121278,0.9885887039400255,0.0023781281061456285,6,0.0009708667338380171,1.808661047985287,0.005417036611911106,6,0.002211495936192866
Ti40Nb,Twin_center__Omega_target,8.75,8.98698405380369,0.17818930234231709,6,0.07274547806019938,0.9919567337231725,0.001691355141449504,6,0.0006904928450640253,0.9476577519180059,0.022708001915168297,6,0.009270502961717586
Ti40Nb,Twin_center__Omega_target,9.25,9.86203001331321,0.19100764922895738,6,0.07797854626324306,0.9942162554731494,0.0012661090321649244,6,0.0005168868479221866,1.1353446712245623,0.013841961903116855,6,0.0056509572836133766
Ti40Nb,Twin_center__Omega_target,9.75,11.876361241305018,0.2038474727879549,6,0.08322038228106143,0.9971124824021147,0.0007678178250335063,6,0.00031346031445761045,2.3525380722357254,0.02055280570308826,6,0.008390647792521718
