frame,strain,mode,r_mid_A,CN_sum_r,P_sum_r,g_r_RDF_like,composition
38,,Twin_center__Omega_target,5.25,10.666182049096774,0.9794121087548672,3.535779871377552,Ti20Nb
38,,Twin_center__Omega_target,5.75,13.302150699353286,0.9908758209254525,2.106555382461965,Ti20Nb
38,,Twin_center__Omega_target,6.25,14.789391888504538,0.9943516986681372,1.006078132056109,Ti20Nb
38,,Twin_center__Omega_target,6.75,16.982871275546866,0.9959225280326198,1.2722409743533505,Ti20Nb
38,,Twin_center__Omega_target,7.25,21.77470296285156,0.9984960144382614,2.4093247567570653,Ti20Nb
38,,Twin_center__Omega_target,7.75,26.037933858057183,0.9994819605287344,1.875973663793575,Ti20Nb
38,,Twin_center__Omega_target,8.25,29.69353787536973,0.9997493357397104,1.4195811919398007,Ti20Nb
38,,Twin_center__Omega_target,8.75,33.19040457211611,0.999899734295884,1.207220809367371,Ti20Nb
38,,Twin_center__Omega_target,9.25,37.37196905131933,0.999949867147942,1.2917887609285763,Ti20Nb
38,,Twin_center__Omega_target,9.75,44.337661469561006,0.999983289049314,1.936875904878741,Ti20Nb
39,,Omega_center__Twin_target,0.25,0.0,0.0,0.0,Ti20Nb
39,,Omega_center__Twin_target,0.75,0.0,0.0,0.0,Ti20Nb
39,,Omega_center__Twin_target,1.25,0.0,0.0,0.0,Ti20Nb
39,,Omega_center__Twin_target,1.75,0.0,0.0,0.0,Ti20Nb
39,,Omega_center__Twin_target,2.25,0.0109961470193514,0.0,0.0441826492454256,Ti20Nb
39,,Omega_center__Twin_target,2.75,3.1397463093640416,0.4971860253690636,8.426952447027158,Ti20Nb
39,,Omega_center__Twin_target,3.25,4.7784969046279056,0.8025455647430625,3.1626431491696634,Ti20Nb
39,,Omega_center__Twin_target,3.75,5.70665396770423,0.8098618987834971,1.3460953365870465,Ti20Nb
39,,Omega_center__Twin_target,4.25,6.711026451361531,0.8268106844452141,1.1344258719860378,Ti20Nb
39,,Omega_center__Twin_target,4.75,9.111693146889476,0.8529806485129227,2.1712189813900404,Ti20Nb
39,,Omega_center__Twin_target,5.25,13.937464825317113,0.8861422572405732,3.573385138871062,Ti20Nb
39,,Omega_center__Twin_target,5.75,17.350621239014675,0.9078098618987837,2.107204740552897,Ti20Nb
39,,Omega_center__Twin_target,6.25,19.307805532707043,0.9160353262045976,1.022821691099537,Ti20Nb
39,,Omega_center__Twin_target,6.75,22.19689164033075,0.9229403870297416,1.2945362315637372,Ti20Nb
39,,Omega_center__Twin_target,7.25,28.39025498939348,0.9375730551106108,2.405682178237821,Ti20Nb
39,,Omega_center__Twin_target,7.75,33.94081994891554,0.9463829603013116,1.8868743264447212,Ti20Nb
39,,Omega_center__Twin_target,8.25,38.68654487207238,0.951945971687086,1.4237100653422996,Ti20Nb
39,,Omega_center__Twin_target,8.75,43.26336637949695,0.9570544179401704,1.220645388139327,Ti20Nb
39,,Omega_center__Twin_target,9.25,48.76169964067709,0.9620113424823584,1.312204933542144,Ti20Nb
39,,Omega_center__Twin_target,9.75,57.804277241439024,0.9684401922161132,1.9424401683791457,Ti20Nb
39,,Twin_center__Omega_target,0.25,0.0,0.0,0.0,Ti20Nb
39,,Twin_center__Omega_target,0.75,0.0,0.0,0.0,Ti20Nb
39,,Twin_center__Omega_target,1.25,0.0,0.0,0.0,Ti20Nb
39,,Twin_center__Omega_target,1.75,0.0,0.0,0.0,Ti20Nb
39,,Twin_center__Omega_target,2.25,0.0085086426370092,0.0,0.0441826492454256,Ti20Nb
39,,Twin_center__Omega_target,2.75,2.4294854616106125,0.4339575237840011,8.426952447027158,Ti20Nb
39,,Twin_center__Omega_target,3.25,3.697524453972933,0.8919167894948412,3.1626431491696634,Ti20Nb
39,,Twin_center__Omega_target,3.75,4.4157175398633255,0.9109774889454644,1.3460953365870465,Ti20Nb
39,,Twin_center__Omega_target,4.25,5.192884898834249,0.9255493769261692,1.1344258719860378,Ti20Nb
39,,Twin_center__Omega_target,4.75,7.050482379740051,0.9538556880611014,2.1712189813900404,Ti20Nb
39,,Twin_center__Omega_target,5.25,10.784587297333513,0.98082205547367,3.573385138871062,Ti20Nb
39,,Twin_center__Omega_target,5.75,13.425633123408817,0.9915416052525794,2.107204740552897,Ti20Nb
